RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-08-31,num_restaurant,num_bank,num_fast_food,num_cafe,num_place_of_worship,num_school,num_bicycle_rental,has_features
94827,2213,85233,zip,AZ,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2093.96940267335,154,9,107,35,4,5,0,True
93594,2214,80916,zip,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,1832.124299719888,248,20,172,57,25,6,45,True
74653,2223,38115,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,1216.29097985348,152,11,87,22,946,264,73,True
93587,2228,80909,zip,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,1358.3063983488134,248,20,172,57,25,6,45,True
95993,2241,90012,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2595.8848067137537,2034,191,1158,615,713,343,126,True
92314,2242,78218,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1532.9718614718613,328,24,342,76,605,166,65,True
96017,2253,90036,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3123.048236101124,2034,191,1158,615,713,343,126,True
78037,2262,46222,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1079.3958333333333,329,28,204,73,235,130,7,True
96602,2270,92037,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,3943.433604336043,1015,129,590,366,528,152,9,True
95824,2284,89128,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,1831.4136473429955,203,32,141,39,162,71,20,True
81421,2294,53703,zip,WI,WI,Madison,"Madison, WI",Dane County,1724.6458704693998,239,37,103,65,12,17,73,True
75603,2298,40272,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,1444.2,259,20,138,62,89,60,5,True
93851,2303,82001,zip,WY,WY,Cheyenne,"Cheyenne, WY",Laramie County,1313.2135076252723,15,1,13,7,3,1,0,True
96012,2304,90031,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2588.333333333333,2034,191,1158,615,713,343,126,True
91736,2317,77087,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1526.6944444444443,817,118,684,183,930,76,41,True
69788,2325,28226,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,1888.6858465608464,425,28,283,94,60,28,25,True
91658,2337,77009,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1777.3787545787543,817,118,684,183,930,76,41,True
97535,2338,94061,zip,CA,CA,Redwood City,"San Francisco-Oakland-Berkeley, CA",San Mateo County,3483.0856481481483,71,18,37,31,12,8,2,True
74656,2349,38118,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,1254.1296296296296,152,11,87,22,946,264,73,True
72072,2358,32571,zip,FL,FL,Pace,"Pensacola-Ferry Pass-Brent, FL",Santa Rosa County,2018.7912087912089,0,0,1,1,1,0,0,True
67656,2371,23321,zip,VA,VA,Chesapeake,"Virginia Beach-Norfolk-Newport News, VA-NC",Chesapeake City,2077.583333333333,161,5,51,14,12,15,0,True
78034,2377,46219,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,921.347915242652,329,28,204,73,235,130,7,True
95837,2383,89141,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,2158.172040773872,203,32,141,39,162,71,20,True
81284,2385,53204,zip,WI,WI,Milwaukee,"Milwaukee-Waukesha, WI",Milwaukee County,1331.3578643578644,269,40,149,89,31,52,37,True
75573,2386,40219,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,1503.388888888889,259,20,138,62,89,60,5,True
63645,2396,14624,zip,NY,NY,Rochester,"Rochester, NY",Monroe County,1736.8055555555554,128,10,24,22,17,41,3,True
93584,2399,80906,zip,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,1858.5065656565655,248,20,172,57,25,6,45,True
81287,2400,53207,zip,WI,WI,Milwaukee,"Milwaukee-Waukesha, WI",Milwaukee County,1512.3277777777778,269,40,149,89,31,52,37,True
84626,2403,60624,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1525.9444444444443,1999,204,903,711,933,295,865,True
92328,2405,78232,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1328.2702676176143,328,24,342,76,605,166,65,True
96672,2406,92131,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,3668.2013888888887,1015,129,590,366,528,152,9,True
92447,2409,78413,zip,TX,TX,Corpus Christi,"Corpus Christi, TX",Nueces County,1160.4755555555555,55,6,40,9,86,73,0,True
97578,2426,94124,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3762.237037037037,1681,188,397,722,139,74,118,True
83136,2436,57103,zip,SD,SD,Sioux Falls,"Sioux Falls, SD",Minnehaha County,1204.4444444444443,68,44,80,20,43,29,0,True
78298,2443,46835,zip,IN,IN,Fort Wayne,"Fort Wayne, IN",Allen County,1501.2916666666667,83,13,47,23,15,24,0,True
99146,2458,97233,zip,OR,OR,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,1516.8055555555557,748,71,353,312,44,31,71,True
95798,2459,89102,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,1389.871794871795,203,32,141,39,162,71,20,True
75588,2464,40245,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,1573.2666666666669,259,20,138,62,89,60,5,True
94734,2476,85018,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1712.7748915298998,515,43,353,145,144,126,49,True
73386,2481,35216,zip,AL,AL,Vestavia Hills,"Birmingham-Hoover, AL",Jefferson County,1516.02962962963,8,0,4,2,10,1,0,True
80288,2483,50317,zip,IA,IA,Des Moines,"Des Moines-West Des Moines, IA",Polk County,1261.1666666666667,90,9,46,21,111,7,21,True
80286,2497,50315,zip,IA,IA,Des Moines,"Des Moines-West Des Moines, IA",Polk County,1072.005750377074,90,9,46,21,111,7,21,True
91657,2499,77008,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1856.4326923076924,817,118,684,183,930,76,41,True
89945,2504,73120,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Oklahoma County,1254.4953322888107,179,27,99,46,448,111,1,True
96324,2511,91205,zip,CA,CA,Glendale,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2365.4026251526248,116,19,57,34,45,14,0,True
93445,2513,80521,zip,CO,CO,Fort Collins,"Fort Collins, CO",Larimer County,1900.0252525252529,139,26,81,48,4,12,1,True
94759,2516,85043,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2054.6763125763123,515,43,353,145,144,126,49,True
75668,2520,40391,zip,KY,KY,Winchester,"Lexington-Fayette, KY",Clark County,947.5,11,3,8,2,8,6,0,True
96001,2528,90020,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2092.4051956815115,2034,191,1158,615,713,343,126,True
91684,2535,77035,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1365.0,817,118,684,183,930,76,41,True
78035,2554,46220,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1580.6760348583878,329,28,204,73,235,130,7,True
90671,2560,75075,zip,TX,TX,Plano,"Dallas-Fort Worth-Arlington, TX",Collin County,1729.529029304029,151,12,93,22,20,0,0,True
72236,2562,32810,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,1893.961111111111,185,21,186,58,62,27,1,True
91663,2573,77014,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1378.797077922078,817,118,684,183,930,76,41,True
96355,2576,91325,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2267.411680911681,2034,191,1158,615,713,343,126,True
77985,2585,46142,zip,IN,IN,Greenwood,"Indianapolis-Carmel-Anderson, IN",Johnson County,1557.0,24,10,28,1,12,2,0,True
